word;d;type;t
Puebla;Puebla {f};prop;{prop} (state of Mexico)
puerile;pueril {m} {f};adj;{adj} /?pj?r?l/
puerperal;puerperal;adj;{adj} (Of or pertaining to or associated with childbirth)
puerperium;puerperio {m};n;{n} /?pu?.??pi?.?i.?m/ (period of time following childbirth)
Puerto Rican;puertorrique�o;adj;{adj} (pertaining to Puerto Rico)
Puerto Rican;"puertorrique�o {m}, puertorrique�a {f}, boricua {m} {f}";n;{n} /?p??(?).t???i?.k?n/ (person from Puerto Rico)
Puerto Rico;Puerto Rico {m};prop;{prop} /?p??t???iko?/ (Caribbean Commonwealth)
puff;;n;{n} (homosexual) SEE:
puff;calada {f};n;"{n} (informal: act of inhaling smoke from a cigarette, cigar or pipe)"
puff;bocanada {f};n;{n} (sharp exhalation of a small amount of breath through the mouth)
puff;bocanada {f};n;{n} (small quantity of gas or smoke in the air)
puff;;v;{v} (pant) SEE:
puffadder;v�bora bufadora;n;{n} (Britis arietans)
puffin;frailecillo {m};n;{n} /?p?f?n/ (seabird with a coloured beak)
puff pastry;hojaldre {m};n;"{n} (light, flaky pastry)"
pugilist;pugilista {m} {f};n;"{n} /?pju(?).d??l.?st/ (One who fights with his fists; esp., a professional prize fighter; a boxer)"
pugnacious;"pugnaz, belicoso";adj;"{adj} (aggressive, belligerent)"
pug-nosed;chato {m};adj;{adj} (having a pug nose)
puke;v�mito {m};n;{n} /pju?k/ (vomit)
puke;devolver;v;{v} (to vomit)
pull;"halar, jalar";v;{v} (apply force such that an object comes toward the person or thing applying the force)
pull;"tirar, jalar";v;{v} /p?l/ (apply force to (something) so it comes towards one)
pullet;polla {f};n;{n} /?p?l?t/ (young hen)
pulley;"polea {f}, roldana {f}";n;{n} (one of simple machines)
pull somebody's leg;"picar a alguien ciza�ear meter ciza�a, sacar picas, provocar";v;{v} (to tease someone)
pull-up;"barbilla {f}, ejercicio de tracci�n {m}";n;{n} /?p?l.?p/ (An exercise done for strengthening the arms and back)
pulmonary;pulmonar;adj;{adj} (related to lungs)
pulmonary alveolus;alv�olo pulmonar {m};n;{n} (small air sac in the lungs)
pulmonary tuberculosis;tuberculosis;n;{n} (tuberculosis infecting the lungs)
pulpit;p�lpito {m};n;{n} /?p?lp?t/ (raised platform in church)
pulsar;p�lsar {m};n;{n} (rotating neutron star)
pulsate;latir;v;{v} /?p?l.se?t/ (to expand and contract rhythmically; to throb or to beat)
pulse;pulso {m};n;{n} /p?ls/ (regular beat caused by the heart)
pulsometer;pulsimetro {m};n;{n} (vacuum pump or hydrotrope)
pulverize;;v;{v} (pulverise) SEE:
puma;puma {f};n;{n} /pu?m?/ (mountain lion)
pumice;"pumita {f}, piedra p�mez {f}";n;{n} /?p?m?s/ (pumice)
pump;"bomba {f}, surtidor {m}";n;"{n} (device for dispensing liquid or gas to be sold, especially fuel)"
pump;bomba {f};n;{n} /p?mp/ (device for moving liquid or gas)
pump;;n;{n} (trainer or sneaker) SEE:
pump;bombear;v;"{v} ((sports) to kick, throw or hit the ball far and high)"
pump;bombear;v;{v} (use a pump to move liquid or gas)
pumping iron;culturismo {m};n;{n}
pump iron;"levantar pesas, culturizar, practicar culturismo";v;{v} (to engage in weight training)
pumpjack;bomba de varilla {f};n;{n}
pumpkin;"calabaza {f}, auyama {f} [Colombia, Venezuela, Dominican Republic], ayote {f} [Costa Rica, El Salvador, Honduras, Nicaragua, Guatemala], zapallo {m} [Argentina, Bolivia, Chile, Ecuador, Panama, Paraguay, Peru, Uruguay]";n;{n} (fruit of this plant)
pumpkin;"calabaza {f}, calabazera {f}";n;{n} /?p?mpk?n/ (plant)
pun;"juego de palabras {m}, calambur";n;{n} /p?n/ (joke or type of wordplay)
punch;ponche {m};n;{n} (beverage)
punch;"pu�etazo {m}, pu�ete {m}";n;{n} (hit or strike with one's fist)
punch;"sacabocado {m}, perforadora {f}";n;{n} (mechanism for punching holes in paper)
punch;perforar;v;{v} (to employ a punch to create a hole)
punch;;v;{v} (to herd cattle) SEE:
punch;"picar, taladrar";v;{v} (to mark a ticket)
punch;"punzonar, dar un pu�etazo";v;{v} (to strike something or someone with one's fist)
punctilious;puntilloso;adj;{adj} /p??k?t?li?s/
punctual;puntual;adj;{adj} /?p?ntju?l/ (prompt)
punctuality;punctualidad {f};n;{n} (state of being punctual)
punctuation;puntuaci�n {f};n;{n} /p??k.t?u?e?.??n/ (set of symbols)
puncture;pinchazo;n;"{n} /?p??kt??/ (hole, cut or tear)"
pungent;punzante;adj;{adj} (having a sharp and stiff point)
pungent;acre;adj;{adj} /p?nd??nt/ (having a strong odour)
Punic;;adj;{adj} (Carthaginian) SEE:
punish;castigar;v;{v}
punish;castigar;v;{v} /?p?n??/ (to cause to suffer for crime or misconduct)
punishment;"castigo {m}, penitencia {f}";n;{n}
punishment;castigo {m};n;{n} (penalty for wrongdoing)
Punjab;Penjab {m};prop;{prop} (state in India)
Punjabi;penjabi {m};n;{n}
Punjabi;panyab� {m};prop;"{prop} /p?n?d???bi/ (language spoken in the Punjab region, in Northern India and Eastern Pakistan)"
punk;;n;{n} (prostitute) SEE:
punt;batea;n;{n} /p?nt/ (narrow shallow boat propelled by a pole)
punt;especular [pejorative];v;{v} (make a highly speculative investment or other commitment)
puny;"flojo, tirillas, gualtrapas";adj;{adj} /pju?ni/ (of inferior size)
pupa;cris�lida {f};n;{n} /?pju?p?/ (insect)
pupil;pupila {f};n;{n} /pju?p?l/ (the hole in the middle of the iris of the eye)
puppet;;n;{n} (doll) SEE:
puppet;"t�tere {m}, marioneta {f}, fantoche {m}";n;{n} (person or country controlled by another)
puppet;"t�tere {m}, marioneta {f}, fantoche {m}";n;{n} /?p?p?t/ (movable model of a person or animal)
puppeteer;titiritero {m};n;{n} (person who uses a puppet)
puppet show;espect�culo de t�teres {m};n;{n} (theatrical performance with puppets)
Puppis;Puppis;prop;{prop} (constellation)
puppy;"cachorro {m}, perrito {m}";n;{n} (young dog)
puppy dog eyes;ojos de cachorro {m} {p};n;{n} (facial expression)
purchase;adquisici�n {f};n;{n} (individual item one has purchased)
purchase;"compra {f}, adquisici�n {f}";n;{n} /?p??t??s/ (the act or process of seeking and obtaining something)
purchase;compra {f};n;{n} (that which is obtained for a price in money or its equivalent)
purchase;comprar;v;{v} (to obtain by paying money or its equivalent; to buy for a price)
pure;puro;adj;{adj} (free of foreign material or pollutants)
pure;puro;adj;{adj} /pj??/ (free of flaws or imperfections)
pure;"puro {m}, pura {f}";adj;{adj}
pur�e;pur� {m};n;{n} /?pj???e?/ (food that has been ground into a thick liquid)
puree;;n;{n} (pur�e) SEE:
purely imaginary number;;n;{n} (imaginary number) SEE:
Purepecha;"pur�pecha {m}, tarasco {m}, michoacano {m}";prop;{prop} (language)
Purepecha;pur�pecha {m} {f};prop;{prop} (person)
purgative;purgativo;adj;{adj} (capable of purging)
purgatory;purgatorio {m};n;{n} /?p????t?ri/ (stage of the afterlife in Catholic theology)
purge;purga {f};n;"{n} (forcible removal of undesirable people from political activity, etc.)"
purge;purga {f};n;{n} (the act of purging)
purge;purgar;v;{v} (to clean thoroughly; to cleanse; to rid of impurities)
purge;"relevar, exonerar";v;"{v} (to clear of a charge, suspicion, or imputation)"
purification;"[alloys] fundici�n {f}, purificaci�n {f}, limpia {f}";n;{n} (act of purifying)
purify;purificar;v;{v} (cleanse something of impurities)
purism;purismo;n;{n} (insistence on the traditionally correct way)
purity;pureza;n;{n} (the state of being pure)
purlin;correa {f};n;{n} /?p??rl?n]/ (longitudinal structural member of a roof)
purloin;"hurtar, robar";v;{v} /p???l??n/ (To convert the property of another)
purple;morado;adj;{adj} (colour)
purple;"morado {m}, p�rpura {f}, lila {m}, violeta {m}";n;{n} /?p??(?).p?l/ (colour)
purple dye murex;p�rpura {f};n;{n} (sea snail)
purple yam;�amp� {m};n;{n} (yam)
purpose;"decisi�n {f}, determinaci�n {f}, resoluci�n {f}";n;{n} (determination)
purpose;"prop�sito {m}, intenci�n {f}, objetivo {m}, objetivo {m}";n;{n} (intention)
purpose;prop�sito {m};n;{n} /?p??(?)p?s/ (target)
purpose;"prop�sito {m}, objeto {m}, raz�n {f}";n;{n} (reason for doing something)
purpose;"tema {m}, objeto {m}";n;{n} (subject of discourse)
purpose;proponerse;v;{v} (have set as one's purpose; intend)
purpure;p�rpura;adj;"{adj} /p??pj??/ (in blazon, of the colour purple)"
purr;ronroneo {m};n;{n} (vibrating sound made by a cat when contented)
purr;ronronear;v;{v} /p??(?)/ (cat to make a vibrating sound in its throat)
purse;"bolsa {f}, monedero {m}";n;{n} /p??(?)s/ (small bag for carrying money)
purse;bolsa {f};n;{n} (quantity of money)
purse;"bolsa {f} [Mexico], bolso {m} [Spain], bulto {m} [Southeastern Mexico], cartera {f} [Latin America]";n;{n} (small bag used by women for carrying personal items)
purse;fruncir;v;{v} (press (the lips) together)
pursue;perseguir;v;{v} /p???s(j)u/ (to follow urgently)
pursue;perseguir;v;{v} (to aim for)
pursue;seguir;v;{v} (to travel down a particular way or course of action)
pursuit;persecuci�n;n;{n} /p??su:t/ (act of pursuing)
pus;pus {m};n;{n} /p?s/ (fluid found in regions of infection)
Pusan;;prop;{prop} (Busan) SEE:
push;empuj�n {m};n;"{n} (short, directed application of force; act of pushing)"
push;pujar;v;{v} (intransitive: tense the muscles of the abdomen)
push;empujar;v;{v} /p??/ (transitive: apply a force to (an object) so that it moves away)
pushing up daisies;estar criando malvas;adj;{adj} (
Pushkin;Pushkin;prop;{prop} (Russian surname)
pushover;influenciable;n;{n} (Someone who is easily swayed or influenced to change his/her mind or comply)
pushpin;;n;{n} (thumbtack) SEE:
push-up;"lagartijas {f}, flexi�n de codos {f}, flexi�n {f}, flexi�n de brazos {f}, planchas {f}";n;{n} (exercise performed by resting on one's toes and hands and pushing one's weight off the floor)
pushup;;n;{n} (push-up) SEE:
pusillanimity;pusilanimidad {f};n;{n}
pusillanimous;pusil�nime;adj;{adj} /pju?s?l?�n?m?s/ (showing cowardice)
Puss in Boots;el gato con botas {m};prop;{prop}
pussy;purulento;adj;{adj} /?p?si/ (containing pus)
pussy;peludito {m};n;{n} (anything soft and furry)
pussy;"gato {m}, gata {f} , gatito {m}";n;{n} (informal: affectionate term for a cat)
pussy;"mujersita {m}, maric�n {m}, mam�n {m}, puto {m}, ni�ita {m}";n;{n} (informal: coward)
pussy;"gatita {f}, nenita {f}, lolita {f}, chiquita {f}";n;{n} /?p?si/ (affectionate term for a girl or woman)
pussy;"[all of these words are vulgar usage] bollo {f} [Cuba, Venezuela], chucha {f} [Peru], cocho {f} [Bolivia], concha {f} [Argentina, Chile, Paraguay], co�o {m} [Spain], cuca {f} [Venezuela], panocha {f} [Mexico], punta, raja {f}, choro {f}, concha {f}";n;{n} (slang: female genitalia)
pussy;"pescar, culear, chingar, follar, coger, fornicar, tirar";n;{n} (vulgar: sexual intercourse with a woman)
pussyman;"macho {m}, machorro {m}";n;{n} (colloquial: great lover)
pussywhipped;macabeo {m};adj;{adj} (Submissive to or dominated by one's wife or other female partner)
pustule;p�stula {f};n;{n} (A pimple filled with pus)
pustule;p�stula {f};n;{n} (A small accumulation of pus in the epidermis or dermis)
put;"poner, colocar, situar";v;{v} /p?t/ (to place something somewhere)
putative;putativo {m};adj;{adj} /?pju.t?.t?v/ (commonly believed or deemed to be the case)
put forward;"proponer, entablar";v;{v} (to propose for consideration)
put in motion;;v;{v} (set in motion) SEE:
put on;ponerse;v;{v} (to don clothing)
put on airs;darse aires;v;"{v} (become haughty, assume a haughty manner)"
put one's foot in one's mouth;meter la pata;v;{v} (misspeak; say something embarrassing or wrong)
put one's mind to it;poner la mente de uno en algo;v;{v} (to apply oneself)
Putonghua;;prop;{prop} (Chinese) SEE:
Putonghua;;prop;{prop} (Guoyu) SEE:
Putonghua;;prop;{prop} /?pu?t????hw??/ (Mandarin) SEE:
put on weight;ganar peso;v;{v} (to become heavier)
put out;extinguir;v;{v} (extinguish)
put out;sacar;v;{v} (place outside or eject)
Putre;Putre {m};prop;{prop} (Putre)
putrefy;pudrirse;v;{v}
putrescible;pudrible;adj;{adj} /pju??t??s?b(?)l/ (Capable of becoming putrescent; rottable)
putsch;"putsh, alzamiento, pronunciamiento, golpe";n;{n} /p?t?/ (A coup; an illegal effort to forcibly overthrow the current government)
put the cart before the horse;poner el carro delante de los bueyes;v;{v} (to put things in the wrong order)
put through;poner con;v;{v} (to connect (telephoning))
put to bed;acostar;v;{v} (help someone go to bed)
put to death;;v;{v} (to kill as punishment) SEE:
put to sleep;adormecer;v;{v} (to cause someone to sleep)
put up;;v;{v} (to put up with) SEE:
puzzle;;n;{n} (crossword puzzle) SEE:
puzzle;"rompecabezas {m}, puzle {m}";n;{n} (game for one person)
puzzle;;n;{n} (jigsaw puzzle) SEE:
puzzle;rompecabezas {m};n;{n} /?p?z?l/ (anything difficult to understand or make sense of)
puzzle;enigma {m};n;{n} (riddle)
pygidium;pigidio {m};n;{n} (The posteriormost portion of certain arthropods)
pygmy;"enano {m}, pigmeo {m}";n;{n}
pygmy sperm whale;cachalote pigmeo {m};n;{n} (whale in the sperm whale family)
pyjamas;"pijama, pijamas {n}";n;{n} /p?d???m?z/ (clothes for wearing to bed and sleeping in)
pylon;torre;n;{n} (a tower like structure used to support high voltage electricity cables)
pylon;pil�n {m}; pil�n {m};n;{n}
pylorus;p�loro {m};n;{n} (opening between the stomach and duodenum)
Pyongyang;Pionyang {m};prop;{prop} (capital of North Korea)
pyramid;pir�mide {f};n;{n} (ancient construction)
pyramid;pir�mide {f};n;{n} (construction)
pyramid;pir�mide {f};n;{n} (notion in geometry)
pyramid;;n;{n} (pyramid scheme) SEE:
pyramidal;piramidal;adj;{adj} (pyramid-shaped)
pyramidic;piramidal;adj;{adj} /p?.???m?d.?k/ (Of or pertaining to a pyramid)
pyranose;piranosa {f};n;{n} (cyclic hemiacetal)
pyre;pira {f};n;{n} /?pa??/ (a funeral pile)
Pyrenean;pirenaico {m};adj;{adj} /?p????ni??n/ (of or pertaining to the Pyrenees)
Pyrenees;Pirineos {p};prop;{prop} (the mountain range separating Spain from France)
pyridine;piridina {f};n;{n} (any of a class of aromatic heterocyclic compounds)
pyrimidine;pirimidina {f};n;{n} (diazine in which the two nitrogen atoms are in the meta-positions)
pyrite;pirita {f};n;{n} (mineral iron disulfide)
pyro;"piro, piroman�aco {m}";n;{n} /?pa?r??/ (a pyromaniac)
pyroclastic flow;flujo pirocl�stico {m};n;{n} /?p??.??.kla.st?k fl??/ (pyroclastic flow)
pyroligneous acid;�cido pirole�oso {m};n;{n} (dark liquid)
pyrolysis;pir�lisis;n;{n} /p????l?s?s/ (decomposition of a material or compound due to heat where there is no oxygen or other reagents)
pyromania;piroman�a {f};n;{n} /?p????(?)?me?n??/ (disorder)
pyromaniac;pir�mano {m};n;{n} (one who is obsessed with fire)
pyrometer;pir�metro {m};n;{n} (thermometer)
pyrotechnics;;n;{n} /?pa?.r?.?t?k.n?ks/ (firework) SEE:
Pyrrhic;p�rrico;adj;{adj} (achieved at excessive cost)
Pyrrhic victory;victoria p�rrica {f};n;{n} /?p??.?k ?v?k.t(?)?.i/ (a costly victory)
pyrrole;pirrol {m};n;{n} (any of a class of aromatic heterocyclic compounds)
Pythagoras;Pit�goras;prop;{prop} /pa???�?.?r.?s/ (Ancient Greek mathematician and philosopher)
Pythagorean;pitag�rico;adj;{adj} (of or relating to Pythagoras)
Pythagorean theorem;teorema de Pit�goras;prop;{prop} (mathematical theorem)
python;pit�n {m};n;{n} /?pa????n/ (constricting snake)
Python;Python {m};prop;{prop} (Greek mythology)
pythoness;;n;{n} (Pythoness) SEE:
Pyxis;"Br�jula, Pyxis";prop;{prop} (constellation)
Qatar;Catar {m};prop;{prop} (a country in the Middle East)
Qatari;"qatar� {m} {f}, catar� {m} {f}, de Qatar";adj;"{adj} (of, from, or pertaining to Qatar or the Qatari people)"
Qatari;"qatar� {m} {f}, catar� {m} {f}";n;{n} /?k??t??(?).i/ (Person from Qatar or of Qatari descent)
QED;"C.Q.D., [written out] como quer�amos demostrar";interj;{interj} (quod erat demonstrandum)
Q fever;fiebre Q {f};n;{n} (pathology)
Qom;"Qom, Qum";prop;{prop} (city in Iran)
QR code;c�digo QR {m};n;{n} (2-D barcode)
Q-tip;;prop;{prop} (type of cotton swab) SEE:
quack;charlat�n {m};n;{n} (charlatan)
quack;"curandero {m}, matasanos {m}";n;{n}
quack;curandero {m};n;{n} (doctor)
quack;matasanos {m};n;{n} (fraudulent or incompetent doctor of medicine)
quack;cuac {m};n;{n} /kw�k/ (sound made by a duck)
quack;decir cuac;v;{v} (to make a noise like a duck)
quackery;"curander�a {f}, curanderismo {m}";n;{n} (the practice of fraudulent medicine)
quackgrass;;n;{n} (couch grass) SEE:
quacksalver;"charlat�n, curandero";n;{n} (one falsely claiming to possess medical or other skills)
